#
#
# US Geological Survey
# retrieved: 2020-01-25 17:36:39 EST
# URL: https://nwis.waterdata.usgs.gov/co/nwis/current
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in Colorado.
#
# The following selected fields are included in this output:
#
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  lat_va          -- DMS latitude
#  long_va         -- DMS longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  coord_datum_cd  -- Latitude-longitude datum
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  state_cd        -- State code
#  map_nm          -- Name of location map
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#  basin_cd        -- Drainage basin code
#  peak_begin_date -- Peak-streamflow data begin date
#  peak_end_date   -- Peak-streamflow data end date
#  peak_count_nu   -- Peak-streamflow data count
#
#
# query started 2020-01-25 17:36:39 EST
#
# there are 339 sites matching the search criteria.
#
#
site_no	station_nm	lat_va	long_va	coord_acy_cd	coord_datum_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	state_cd	map_nm	alt_va	alt_acy_va	alt_datum_cd	huc_cd	basin_cd	peak_begin_date	peak_end_date	peak_count_nu
09124500	LAKE FORK AT GATEVIEW, CO.	381756	1071346	F	NAD27	38.29888340	-107.23005570	F	NAD83	08		 7827.66			14020002	co04	1938-06-21	2019-07-01	82
09126000	CIMARRON RIVER NEAR CIMARRON, CO	381529.5	1073246	S	NAD83	38.25819444	-107.54611110	S	NAD83	08	WASHBOARD ROCK, CO	 8641.48			14020002	co04	1955-08-04	2019-07-01	65
09127000	CIMARRON RIVER BLW SQUAW CREEK AT CIMARRON, CO	382649.0	1073318.8	1	NAD83	38.44694444	-107.55522220	1	NAD83	08	CIMARRON, CO	 6879.83			14020002	co04	1943-06-02	2019-04-29	19
09128000	GUNNISON RIVER BELOW GUNNISON TUNNEL, CO	383145	1073854	S	NAD27	38.52915336	-107.64894700	S	NAD83	08	GRIZZLY RIDGE, CO	 6526.06			14020002	co04	1906-06-13	2019-06-04	114
09129600	SMITH FORK NEAR LAZEAR, CO	384226.8	1074236.5	5	NAD83	38.70744444	-107.71013890	5	NAD83	08	GRAND VIEW MESA, CO	 5844			14020002	co04	1976-07-01	2018-04-08	18
09132095	ANTHRACITE CREEK ABOVE MOUTH NEAR SOMERSET	385614.0	1072130.0	U	NAD83	38.93722220	-107.35833330	U	NAD83	08	PAONIA RESERVOIR, CO	 6280			14020004	co04	2015-06-11	2019-06-08	5
09132500	NORTH FORK GUNNISON RIVER NEAR SOMERSET, CO.	385533	1072601	S	NAD27	38.92582280	-107.43422110	S	NAD83	08		 6280.00			14020004	co04	1934-05-12	2019-06-09	86
09134100	NORTH FORK GUNNISON RIVER BELOW PAONIA, CO	385127	1073719	S	NAD83	38.85750000	-107.62194440	S	NAD83	08	PAONIA, COLO.	 5560.00			14020004	co04	2000-05-06	2019-07-01	17
09136100	NORTH FK GUNNISON RIVER ABOVE MOUTH NR LAZEAR, CO	384706.60	1075000.30	S	NAD83	38.78516667	-107.83341670	S	NAD83	08	LAZEAR, CO	 5100			14020004	co04	2009-05-08	2019-04-30	11
09143000	SURFACE CREEK NEAR CEDAREDGE, CO	385905	1075114	F	NAD27	38.98470340	-107.85450770	F	NAD83	08	DRY CREEK, CO	 8261			14020005	co04	1940-05-06	2019-06-14	80
09143500	SURFACE CREEK AT CEDAREDGE, CO.	385406	1075514	F	NAD27	38.90164870	-107.92117600	F	NAD83	08		 6220.00			14020005	co04	1917-06-24	2019-06-14	103
09144250	GUNNISON RIVER AT DELTA, CO	384511	1080440	S	NAD27	38.75303944	-108.07840300	S	NAD83	08	NORTH DELTA, CO	 4910			14020005	co04	1976-06-06	2019-06-09	44
09146020	UNCOMPAHGRE RIVER NEAR OURAY, CO	380236	1074057	S	NAD27	38.04332665	-107.68311540	S	NAD83	08	OURAY, COLO.	 7600			14020006	co04	2001-06-02	2019-06-28	19
09146200	UNCOMPAHGRE RIVER NEAR RIDGWAY, CO.	381102	1074443	S	NAD27	38.18387910	-107.74589240	S	NAD83	08		 6877.58			14020006	co04	1959-06-09	2019-07-01	61
09147000	DALLAS CREEK NEAR RIDGWAY, CO	381040	1074528	F	NAD27	38.17776806	-107.75839270	F	NAD83	08	RIDGWAY, CO	 6980			14020006	co04	1922-04-30	2019-08-01	62
09147025	UNCOMPAHGRE RIVER BELOW RIDGWAY RESERVOIR, CO	381426.0	1074537.1	S	NAD83	38.24055556	-107.76030560	S	NAD83	08	RIDGWAY, CO	 6650			14020006	co04	1989-05-11	2019-07-02	31
09147500	UNCOMPAHGRE RIVER AT COLONA, CO	381953.15	1074645.21	5	NAD83	38.33143056	-107.77922500	5	NAD83	08	COLONA, CO	 6320			14020006	co04	1903-06-13	2019-07-02	102
09149500	UNCOMPAHGRE RIVER AT DELTA, CO	384431.0	1080449.5	S	NAD83	38.74194444	-108.08041670	S	NAD83	08	DELTA, CO	 4926.49			14020006	co04	1903-06-15	2019-06-09	110
09152500	GUNNISON RIVER NEAR GRAND JUNCTION, CO.	385900	1082700	S	NAD27	38.98331575	-108.45064460	S	NAD83	08		 4631.37			14020005	co04	1897-05-09	2019-06-09	111
09163500	COLORADO RIVER NEAR COLORADO-UTAH STATE LINE	390758	1090135	S	NAD27	39.13276047	-109.02705460	S	NAD83	08	BITTER CREEK WELL,CO	 4325			14010005	co04	1951-06-23	2019-06-10	69
09165000	DOLORES RIVER BELOW RICO, CO.	373820	1080335	F	NAD27	37.63888428	-108.06035170	F	NAD83	08		 8422.23			14030002	co04	1952-06-10	2019-06-13	66
09166500	DOLORES RIVER AT DOLORES, CO.	372821	1082949	F	NAD27	37.47249296	-108.49759080	F	NAD83	08		 6940			14030002	co04	1896-09-23	2019-06-09	108
09166950	LOST CANYON CREEK NEAR DOLORES, CO.	372646	1082807	S	NAD27	37.44610459	-108.46925620	S	NAD83	08	Dolores East	 7030.00			14030002	co04	1984-05-13	2018-04-10	35
09168730	DOLORES RIVER NEAR SLICK ROCK, CO	380240	1085417	S	NAD27	38.04443666	-108.90538200	S	NAD83	08	Horse Range Mesa, CO	 5400			14030002	co04	1997-05-22	2019-06-14	19
09169500	DOLORES RIVER AT BEDROCK, CO	381837	1085305	F	NAD27	38.31026750	-108.88538050	F	NAD83	08	PARADOX, CO	 4940			14030002	co04	1918-05-18	2019-06-16	54
09171100	DOLORES RIVER NEAR BEDROCK, CO.	382125	1084958	F	NAD27	38.35693370	-108.83343470	F	NAD83	08		 4910			14030002	co04	1970-09-06	2019-06-16	50
09171240	LAKE FORK SAN MIGUEL RV ABV TROUT LAKE NR OPHIR CO	374904.2	1075244.8	T	NAD83	37.81783330	-107.87911110	T	NAD83	08	MOUNT WILSON, CO	 9740			14030003	co04	2012-06-01	2018-06-17	7
09171310	SOUTH FORK SAN MIGUEL RIVER NEAR OPHIR, CO	375223.2	1075340.0	T	NAD83	37.87311110	-107.89444440	T	NAD83	08	MOUNT WILSON, CO	 8495			14030003	co04	2012-05-23	2018-07-27	7
09172500	SAN MIGUEL RIVER NEAR PLACERVILLE, CO	380150.54	1080637.04	F	NAD83	38.03070556	-108.11028890	F	NAD83	08	PLACERVILLE, CO	 7100			14030003	co04	1909-09-05	2018-05-10	85
09174600	SAN MIGUEL RIVER AT BROOKS BRIDGE NEAR NUCLA CO	381439	1083005	M	NAD27	38.24415710	-108.50203430	M	NAD83	08	NATURITA	 5570			14030003	co04	1995-06-17	2018-05-17	24
09177000	SAN MIGUEL RIVER AT URAVAN, CO.	382126	1084244	F	NAD27	38.35721157	-108.71287500	F	NAD83	08		 5000.00			14030003	co04	1954-09-25	2019-05-01	54
09179450	DOLORES RIVER NEAR GATEWAY, CO	384004.94	1085755.87	M	NAD83	38.66803889	-108.96551940	M	NAD83	08	GATEWAY, CO	 4575			14030004	co04	2015-06-12	2018-08-27	4
09237450	YAMPA RIVER ABOVE STAGECOACH RESERVOIR, CO	401551.34	1065330.36	S	NAD83	40.26426110	-106.89176670	S	NAD83	08	OAK CREEK, CO	 7235			14050001	co04	1989-04-08	2018-03-23	30
09237500	YAMPA RIVER BELOW STAGECOACH RESERVOIR, CO	401711.56	1064944.60	T	NAD83	40.28654444	-106.82905560	T	NAD83	08	BLACKTAIL MOUNTAIN,	 7068			14050001	co04	1943-06-02	2018-04-09	52
09238900	FISH CR AT UPPER STA NR STEAMBOAT SPRINGS, CO	402830	1064711	F	NAD27	40.47497750	-106.78699260	F	NAD83	08	STEAMBOAT SPRINGS,CO	 7150			14050001	co04	1967-05-25	2018-05-27	43
09239500	YAMPA RIVER AT STEAMBOAT SPRINGS, CO	402858.75	1064956.75	S	NAD83	40.48298610	-106.83243060	S	NAD83	08	STEAMBOAT SPRINGS,CO	 6695.47			14050001	co04	1904-05-25	2018-05-26	112
09240020	YAMPA RIVER BELOW SODA CREEK AT STEAMBOAT SPGS, CO	402921.2	1065029.5	S	NAD83	40.48922220	-106.84152780	S	NAD83	08	STEAMBOAT SPRINGS,CO	 6690			14050001	co04	2009-05-21	2019-06-21	11
09242500	ELK RIVER NEAR MILNER, CO.	403053	1065712	F	NAD27	40.51469750	-106.95394070	F	NAD83	08		 6590			14050001	co04	1904-05-24	2018-05-11	50
09244490	YAMPA RIVER ABOVE ELKHEAD CREEK NEAR HAYDEN, CO	403104.55	1072356.20	5	NAD83	40.51793056	-107.39894440	5	NAD83	08	RALPH WHITE LAKE, CO	 6240			14050001	co04	2004-05-11	2018-05-26	15
09246200	ELKHEAD CREEK ABOVE LONG GULCH, NEAR HAYDEN, CO	403530	1071913	S	NAD27	40.59163879	-107.32089330	S	NAD83	08	ROCK SPRING GULCH, C	 6405			14050001	co04	1996-05-09	2018-04-30	23
09246500	ELKHEAD CREEK NEAR CRAIG, CO	403152	1072608	S	NAD27	40.53108290	-107.43617350	S	NAD83	08	RALPH WHITE LAKE, CO	 6230			14050001	co04	1906-05-30	2018-04-28	19
09247600	YAMPA RIVER BELOW CRAIG, CO.	402851	1073649	S	NAD27	40.48080479	-107.61423380	S	NAD83	08		 6100			14050001	co04	1985-05-06	2018-05-11	34
09251000	YAMPA RIVER NEAR MAYBELL, CO	403010	1080158	F	NAD27	40.50274666	-108.03341520	F	NAD83	08	MAYBELL, CO	 5900.23			14050002	co04	1904-05-28	2018-05-12	105
09260000	LITTLE SNAKE RIVER NEAR LILY, CO	403256.46	1082527.56	5	NAD83	40.54901667	-108.42432220	5	NAD83	08	LONE MOUNTAIN, CO	 5685			14050003	co04	1922-05-28	2018-05-12	97
09260050	YAMPA RIVER AT DEERLODGE PARK, CO	402706	1083128	F	NAD27	40.45163387	-108.52510100	F	NAD83	08	INDIAN WATER CANYON	 5600			14050002	co04	1982-05-07	2018-05-13	35
09304200	WHITE RIVER ABOVE COAL CREEK NEAR MEEKER, CO	400018	1074929	F	NAD27	40.00497428	-107.82534860	F	NAD83	08	RATTLESNAKE MESA, CO	 6400			14050005	co04	1962-05-13	2018-05-11	57
09304500	WHITE RIVER NEAR MEEKER, CO.	400201	1075142	F	NAD27	40.03358490	-107.86229460	F	NAD83	08		 6300.00			14050005	co04	1901-05-21	2018-05-11	110
09304800	WHITE RIVER BELOW MEEKER, CO	400121.3	1080711.8	5	NAD83	40.02258330	-108.11994440	5	NAD83	08	BUCKSKIN POINT, CO	 5900			14050005	co04	1962-05-13	2018-05-12	57
09306200	PICEANCE CREEK BL RYAN GULCH, NR RIO BLANCO, CO.	395516	1081749	F	NAD27	39.92108330	-108.29758760	F	NAD83	08		 6070.00			14050006	co04	1965-08-19	2017-11-06	53
09306222	PICEANCE CREEK AT WHITE RIVER, CO	400441	1081409	S	NAD27	40.07802640	-108.23647530	S	NAD83	08	WHITE RIVER CITY, CO	 5730			14050006	co04	1965-07-24	2018-02-12	50
09306242	CORRAL GULCH NEAR RANGELY, CO	395513	1082820	S	NAD27	39.92025020	-108.47287190	S	NAD83	08		 6580			14050006	co04	1974-05-17	2017-11-10	45
09306255	YELLOW CREEK NEAR WHITE RIVER, CO.	401007	1082402	F	NAD27	40.16858130	-108.40120460	F	NAD83	08		 5535.00			14050006	co04	1965-07-25	2017-10-01	42
09306290	WHITE RIVER BELOW BOISE CREEK, NEAR RANGELY, CO.	401047	1083353	S	NAD27	40.17969335	-108.56537750	S	NAD83	08		 5395			14050007	co04	1983-06-27	2018-05-11	36
09342500	SAN JUAN RIVER AT PAGOSA SPRINGS, CO	371555.9	1070039.6	5	NAD83	37.26552778	-107.01100000	5	NAD83	08	PAGOSA SPRINGS, CO	 7047.53			14080101	co04	1911-07-02	2018-05-10	89
09346400	SAN JUAN RIVER NEAR CARRACAS, CO.	370049	1071842	F	NAD27	37.01361667	-107.31226700	F	NAD83	08	carracas	 6090.00			14080101	co04	1962-04-20	2019-06-09	58
09349800	PIEDRA RIVER NEAR ARBOLES, CO.	370518	1072350	F	NAD27	37.08833797	-107.39782600	F	NAD83	08		 6147.52			14080102	co04	1963-03-29	2018-05-11	56
09352800	LOS PINOS R ABV VALLECITO RES NR BAYFIELD, CO	372453	1073046	S	NAD27	37.41472420	-107.51338930	S	NAD83	08	VALLECITO RESERVOIR	 7740			14080101		2018-05-11	2018-05-11	1
09352900	VALLECITO CREEK NEAR BAYFIELD, CO.	372839	1073235	M	NAD27	37.47750126	-107.54366880	M	NAD83	08		 7906.08			14080101	co04	1963-05-07	2018-05-10	56
09353800	LOS PINOS RIVER NEAR IGNACIO, CO	370958	1073457	M	NAD83	37.16611110	-107.58250000	M	NAD83	08	BAYFIELD	 6630			14080101	co04	1999-10-07	2017-10-05	19
09354500	LOS PINOS RIVER AT LA BOCA, CO.	370034	1073556	F	NAD27	37.00944840	-107.59949970	F	NAD83	08		 6143.58			14080101	co04	1951-08-03	2017-10-05	68
09358000	ANIMAS RIVER AT SILVERTON, CO.	374840	1073931	S	NAD27	37.81110770	-107.65922780	S	NAD83	08		 9290.00			14080104	co04	1992-06-12	2018-05-10	26
09358550	CEMENT CREEK AT SILVERTON, CO	374911	1073947	F	NAD27	37.81971870	-107.66367230	F	NAD83	08	SILVERTON, CO	 9380			14080104	co04	1992-05-20	2018-05-10	26
09359010	MINERAL CREEK AT SILVERTON, CO	374810	1074020	S	NAD27	37.80277440	-107.67283920	S	NAD83	08	SILVERTON,CO	 9245.98			14080104	co04	1992-07-25	2018-05-10	26
09359020	ANIMAS RIVER BELOW SILVERTON, CO	374718.00	1074005.60	F	NAD83	37.78833330	-107.66822220	F	NAD83	08	SILVERTON, CO	 9199			14080104	co04	1992-06-12	2018-05-10	27
09359080	CASCADE CR ABV CASCADE CR DIVERSION NR ROCKWOOD CO	374002.2	1074921.45	1	NAD83	37.66727778	-107.82262500	1	NAD83	08	ENGINEER MOUNTAIN, C	 8921			14080104	co04	2012-05-05	2018-05-10	7
09359082	CASCADE CR BLW CASCADE CR DIVERSION NR ROCKWOOD CO	374001.2	1074920.1	T	NAD83	37.66700000	-107.82225000	T	NAD83	08	ENGINEER MOUNTAIN, C	 8899			14080104	co04	2012-05-06	2018-05-10	7
09359500	ANIMAS RIVER AT TALL TIMBER RESORT ABOVE TACOMA,CO	373550.70	1074637.08	F	NAD83	37.59741667	-107.77696670	F	NAD83	08	ELECTRA LAKE, CO	 7682			14080104	co04	1946-06-08	2019-06-15	24
09361500	ANIMAS RIVER AT DURANGO, CO	371645	1075247	F	NAD27	37.27916880	-107.88034450	F	NAD83	08	DURANGO WEST, CO	 6501.57			14080104	co04	1898-06-23	2018-05-11	110
09362520	ANIMAS RIVER BLW DURANGO PUMP PLANT NR DURANGO, CO	371457.35	1075221.30	T	NAD83	37.24926389	-107.87258330	T	NAD83	08	LOMA LINDA, CO	 6437.40			14080104	co04	2008-05-21	2018-05-11	11
09363500	ANIMAS RIVER NEAR CEDAR HILL, NM	370211.65	1075231.2	S	NAD83	37.03656944	-107.87533330	S	NAD83	08		 5960.00			14080104	nm06	1935-06-16	2017-06-11	83
09371000	MANCOS RIVER NEAR TOWAOC, CO.	370139	1084427	F	NAD27	37.02749425	-108.74148380	F	NAD83	08		 5055.98			14080107	co04	1921-08-25	2017-10-01	91
09371010	SAN JUAN RIVER AT FOUR CORNERS, CO	370004.1	1090146.5	S	NAD83	37.00113889	-109.02958330	S	NAD83	08		 4600.00			14080201	nm06	1985-06-11	2017-10-01	34
09371492	MUD CREEK AT STATE HIGHWAY 32, NEAR CORTEZ, CO.	371846	1083938	S	NAD27	37.31277160	-108.66120670	S	NAD83	08		 5765.00			14080202	co04	1982-08-24	2018-09-01	30
09371520	MCELMO CREEK ABOVE TRAIL CANYON NEAR CORTEZ, CO	371936	1084200	S	NAD27	37.32666010	-108.70065270	S	NAD83	08	MUD CREEK	 5690			14080202	co04	1994-02-19	2019-03-13	26
09372000	MCELMO CREEK NEAR COLORADO-UTAH STATE LINE	371927	1090054	F	NAD27	37.32415968	-109.01566600	F	NAD83	08		 4890.00			14080202	co04	1951-08-29	2018-07-13	68
381312104321001	BESSEMER DITCH AT ST. CHARLES WD NEAR PUEBLO CO	381312.4	1043209.5	S	NAD83	38.22011110	-104.53597220	S	NAD83	08	Southeast Pueblo	 4760			11020002	co02	--	--	0
382628104493700	TURKEY CR WEST SEEP BL TELLER RES NR STONE CITY,CO	382628	1044937	5	NAD83	38.44111110	-104.82694440	5	NAD83	08		 5420			11020002	co02	2001-07-11	2017-11-17	17
382629104493000	TURKEY C EAST SEEP BL TELLER RES NR STONE CITY, CO	382629	1044933	5	NAD83	38.44138889	-104.82583330	5	NAD83	08		 5420			11020002	co02	2001-06-20	2018-07-21	17
383103106594200	GUNNISON RIVER AT CNTY RD 32 BELOW GUNNISON, CO	383102.12	1065943.62	F	NAD83	38.51725556	-106.99545000	F	NAD83	08	GUNNISON, CO	 7573			14020002		2018-05-18	2019-06-15	2
383619104520401	LYTLE DITCH AT FT. CARSON, CO	383619	1045204	M	NAD27	38.60527350	-104.86830990	M	NAD83	08		 6270			11020002	co02	2013-11-11	2017-11-01	5
383926107593001	LOUTSENHIZER ARROYO AT HWY 50 NEAR OLATHE CO	383926	1075930	S	NAD27	38.65720700	-107.99228860	S	NAD83	08	OLATHE NW, CO	 5200			14020006	co04	2015-07-09	2019-07-30	5
384037104472001	MERRIAMS ROCK CREEK DITCH AT FT. CARSON, CO	384037	1044720	M	NAD27	38.67694000	-104.78941820	M	NAD83	08		 5830			11020003	co02	2014-08-08	2018-01-02	5
384047104510301	RIPLEY DITCH FROM L. FOUNTAIN CR AT FT. CARSON, CO	384047	1045103	M	NAD27	38.67971594	-104.85136320	M	NAD83	08		 6340			11020003	co02	2010-04-18	2017-10-06	6
384048104504901	WOMACK DITCH FROM L. FOUNTAIN CR NR FT. CARSON, CO	384048	1045051	M	NAD27	38.67999380	-104.84802980	M	NAD83	08		 6370			11020003	co02	2013-11-13	2017-10-02	5
385106106571000	SLATE R AB BAXTER GL @HWY 135 NR CRESTED BUTTE, CO	385106	1065710	S	NAD27	38.85165929	-106.95337730	S	NAD83	08	CRESTED BUTTE	 8810			14020001	co04	2007-05-20	2019-06-15	13
385553107243301	NORTH FORK GUNNISON BLW RAVEN GULCH NR SOMERSET	385552.51	1072432.73	U	NAD83	38.93125278	-107.40909170	U	NAD83	08	SOMERSET, CO	 6158			14020004	co04	--	--	0
385903107210800	MUDDY CREEK ABOVE PAONIA RESERVOIR, CO	385918.10	1072054.56	R	NAD83	38.98836110	-107.34848890	R	NAD83	08	PAONIA RESERVOIR, CO	 6469			14020004	co04	2015-06-11	2018-05-11	4
393109104464500	CHERRY CREEK NEAR PARKER, CO	393109	1044645	F	NAD27	39.51915570	-104.77969750	F	NAD83	08	PARKER	 5805			10190003	co01	1992-07-12	2019-03-09	28
394220106431500	EAGLE RIVER BELOW MILK CREEK NEAR WOLCOTT, CO	394218	1064333	S	NAD83	39.70500000	-106.72583330	S	NAD83	08	WOLCOTT, CO	 6820			14010003	co04	2006-05-23	2019-07-01	14
394329104490101	TOLL GATE CREEK ABOVE 6TH AVE AT AURORA, CO	394330.32	1044904.42	5	NAD83	39.72508889	-104.81789440	5	NAD83	08	FITZSIMONS, CO	 5390			10190003	co01	2012-06-07	2018-07-23	7
394839104570300	SAND CREEK AT MOUTH NR COMMERCE CITY,CO	394839.5	1045705.7	S	NAD83	39.81097220	-104.95158330	S	NAD83	08	COMMERCE CITY, CO	 5120			10190003	co01	1993-09-18	2018-07-23	25
401733105392404	THE LOCH OUTLET - LOCH VALE	401735	1053916	M	NAD83	40.29305556	-105.65444440	M	NAD83	08					10190006	co01	--	--	0
402114105350101	BIG THOMPSON BL MORAINE PARK NR ESTES PARK, CO	402114	1053501	R	NAD27	40.35387290	-105.58416790	R	NAD83	08	LONGS PEAK, CO	 8005			10190006	co01	1996-06-11	2018-05-26	20
404417108524900	GREEN RIVER ABOVE GATES OF LODORE, CO	404417	1085249	S	NAD83	40.73805556	-108.88027780	S	NAD83	08	CANYON OF LODORE N	 5360			14040106	co04	--	--	0
